,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment
0,US,21879631,RY52KZABZK8QF,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,1,0,0,N,Y,Do not recommend it. go use your money for something more ...,3 of the buttons stopped working after a month of using it it was used twice a day do not recommend it go use your money for something more durable oh and also big plates do not fit in it,8/31/2015,0.5222471
1,US,14964566,R3GCOEV4HYZG2I,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,Y,Looks as good as the picture,didnt use it long so i cant attest to that but for the price it is extremely good looking and feels like a quality build just know its small  you will not be nuking turkeys in this  and its not super high wattage so it may take a bit longer so if you must have your canned soup in 212 minutes and not 3 then this wont work,8/31/2015,0.49933863
2,US,13230389,R1V2OPPNL0QGCE,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,Y,Four Stars,very nice microwave great price,8/31/2015,0.7316151
3,US,43655888,R9Q0QDTLKV567,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,3,0,1,N,Y,quiet,quiet but does not seem like 1000 watt power,8/31/2015,0.5732842
4,US,117794,R3DL7HYC3QTWNI,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",Major Appliances,4,0,0,N,Y,Four Stars,its bigger than i thought,8/31/2015,0.6676217
5,US,16018452,R3M88678ZYC6WI,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,Y,Great Microwave,really love this microwave has the one touch settings that i wanted along with the 30 seconds button  its a great size for a countertop  it can be a little noisy when it beeps as others have said,8/31/2015,0.5466725
6,US,50761053,R2G20T7N6L3HO1,B001QFYDSI,295520151,sharp microwave drawer oven,Major Appliances,1,0,0,N,N,Stopped working after 2 years,we bought this microwave 2 years ago as part of a home remodel it was great while it worked but recently stopped working sharp warranty is only 1 year for the amount of money we spent on this i would expect it to last more than 2 years,8/30/2015,0.4614996
7,US,21924164,R29F0E6EJJCEEM,B004ZUWBVW,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,Y,Was pleased with the packaging and easy instructions to set it ...,was pleased with the packaging and easy instructions to set it up worth 55 and that it was prime34 order,8/29/2015,0.5489249
8,US,18672427,R1WU4A3QFKJ0HT,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,Y,Great Value for the Money.,neat little unit i have no complaints,8/29/2015,0.66986
9,US,3159360,R2Q061UH1EJHIJ,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,2,1,1,N,Y,It had great reviews when we ordered it,the finish is nice and matches our stainless steelblack wall oven nicely however the button to open the door no longer opens on the first try or needs some help and occasionally something internal to the microwave makes a noise when the tray is rotating,8/28/2015,0.52148134
10,US,12458936,R2F0TUS62C3ZCN,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,Y,Great little microwave!,excellent small microwave  i recently moved to an apartment which did not have a builtin microwave but also a kitchen that wasnt that big  this microwave was perfect for it  its footprint is small however it packs a punch  all my plates fit it and cooks everything evenly  the only downside is that when opening or closing the door the whole microwave sometimes may move as its not the heaviest out there but im not going to fault it for that i just simply put my other hand on top of it while openingclosing,8/28/2015,0.49859527
11,US,39416583,R2X9MN0B0MVUZT,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,Y,Four Stars,works really well,8/27/2015,0.74932104
12,US,31487975,R35P4D0NHKAGKE,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",Major Appliances,5,1,1,N,Y,Five Stars,love this microwave  gives me more space in my kitchen only con is the price,8/27/2015,0.5972452
13,US,26976013,R2V6PXBBC9ZPKZ,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,3,0,1,N,Y,I never used this for my wife insisted we buy ...,i never used this for my wife insisted we buy a new microwave after i bought this i did contact ge and they gave me a 20 credit  and said not to worry about  paint peeling off tell that to your wife that was ok because i read some reviews which made it sound alittle difficult to use,8/27/2015,0.5313598
