,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment
0,US,40626522,R1A3ZUBR8TSAKY,B00793CZAE,572944212,"mary meyer wubbanub plush pacifier, lamb",Baby,5,0,0,N,Y,Love this!,perfect match for the gund huggybuddy i bought as a baby gift,8/31/2015,0.9998921
1,US,16290022,RLJNYBK4FGBYX,B003PCYMP4,911821018,wubbanub lamb infant pacifier,Baby,5,0,0,N,Y,Love 💕,my little girl love this paci contraption,8/31/2015,0.99968934
2,US,10216509,R26QCW75C4JDOK,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,0,N,Y,Five Stars,my son loves this one and will only sleep if he has this one,8/31/2015,0.9980034
3,US,114040,R2E7N0TVLUHUDR,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,0,N,Y,Five Stars,perfect,8/31/2015,0.99998534
4,US,27971579,R1SO9VMCIGZX3U,B003PCYMP4,911821018,wubbanub lamb infant pacifier,Baby,5,0,0,N,Y,Five Stars,amazing addition to the nursery,8/31/2015,0.9999008
5,US,36369192,R2EUVAGKYPV8Z3,B00PF841HA,449026476,"philips avent freeflow pacifier bpa, free blue / white, 0-6 months",Baby,5,0,0,N,Y,Five Stars,great breathable and basic pacifier,8/31/2015,0.9996458
6,US,18742061,R2EC65V4U7R8FZ,B0082I1IA8,218693378,"mam glow in the dark night orthodontic pacifier, boy, 6+ months, 2-count",Baby,5,0,0,N,Y,Five Stars,great pacifiers,8/31/2015,0.9958916
7,US,15312194,RG9XY3EKPUCL1,B00067AUNY,957640647,"dexbaby womb sounds bear audio pacifier, brown (discontinued by manufacturer)",Baby,3,0,0,N,Y,Does the job,the bear does exactly what we ordered it to do the heartbeatwomb sounds helped our first daughter to sleep and she still sleeps with her heartbeat bear shes almost 3 and this is baby number 2s i do wish the volume could be turned down more the bear is also a darker chocolate brown than i anticipated based off the items picture which was disappointing for me  edit  once the womb noise times out restarting it is a hassle just turning the switch to off and then back on does not work it requires turning the switch to off multiple times to get it restart the womb noise sometimes it takes two times sometimes it takes seven its not reliable and i wish i would have purchased a different heartbeat bear,8/31/2015,0.99232084
8,US,44791277,R1QR2VQN2KLU6Z,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,0,N,Y,"Kid loves it, so I do to.",baby boy loves it and like to just hold the giraffe  happy kid  happy parents,8/31/2015,0.99982053
9,US,2943530,R3PRYHYQE0TLYK,B00B7U61QO,115431579,nuk pack of 4 trendline orthodontic pacifier bundle pack,Baby,5,0,0,N,Y,We love the NUK brand of bottles and pacifiers and these ...,we love the nuk brand of bottles and pacifiers and these pacifiers are no exception these are the only brand my kiddos would take with how easy these can be to lose this 4 pack is so worth buying the colors are exactly as pictured would recommend buying the pacifiers and bottles together because baby recognizes the nipple and will take them easier love the othodonic shape  its more natural to breastfed babies and i dont have to worry about teeth problems would definitely recommend this product,8/31/2015,0.9994407
10,US,32717440,R2M4WTN0Z3EJZ5,B00AHO43BG,667171015,fctry - baby pacifiers,Baby,5,0,0,N,Y,I mustache you a question..,went well with the baby onepiece tuxedo excellent,8/31/2015,0.9998889
11,US,114040,R2WGKHKDDYUBV8,B0028IDXDS,450475749,wubbanub brown monkey pacifier,Baby,5,0,0,N,Y,Five Stars,perfect love,8/31/2015,0.9999956
12,US,2761934,R2UQFAFNMGSFKE,B00K92MWE6,181638405,chicco pacifier hard shield,Baby,4,0,0,N,Y,Four Stars,he likes them over all the others and thats what matters,8/31/2015,0.9993771
13,US,12996130,R1B3QE6JZ2OKEY,B00I0M8QTW,339747365,"tommee tippee night pacifier, 2 count",Baby,5,0,0,N,Y,Baby's favorite,these are the only type of pacifier that my baby will take they stay in his mouth really well compared to other brands we tried he loves them,8/31/2015,0.9987846
14,US,9603909,R3CSWENZZI15LL,B000AKB4IM,295960359,the original billy-bob teeth two front teeth pacifier,Baby,5,0,0,N,Y,Five Stars,very cute,8/31/2015,0.9983
15,US,45264480,R31OJB468465EI,B00B7U61RI,64500002,"nuk baby talk puller pacifier in assorted colors and styles, 0-6 months",Baby,5,0,0,N,Y,Love these! The shape of them allows my daughter ...,love these the shape of them allows my daughter to get a good suction and they stay in her mouth,8/30/2015,0.9942281
16,US,45264480,R28PVLOQYIT58Q,B001FGL9X0,812583172,wubbanub brown puppy pacifier,Baby,4,0,0,N,Y,I do not like these pacifiers,i do not like these pacifiers the only reason i gave it a high rating is that the animal attached helps the pacifier stay in my childs mouth,8/30/2015,0.55924076
17,US,766380,R15YIDY8YOE6WJ,B0057EEC3A,218530709,"philips avent translucent orthodontic infant pacifier, 0-6 months",Baby,5,0,0,N,Y,Five Stars,good,8/30/2015,0.9966756
46,us,22327797,r2fs20tloqbb7v,b00fb5fi8i,509145368,"jj cole pacifier pod, cream & black",baby,5,0,0,n,y,five stars,works like it should,8/30/2015,0.88704574
53,us,32015468,r15jbyjr38bp85,b0045i6iay,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",baby,5,0,0,n,y,five stars,loved them,8/30/2015,0.9960861
55,US,12459634,R3MLL7RWQF0O81,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,2,3,N,Y,MUST buy for new babies,i love wubbanubs 34giraffee34 is one of my daughters favorite ones wubbanubs are perfect for babies once they can grab the animal makes it so easy for the baby to find and stick back in their own mouth due to its size this is nice because when they wake up in the middle of the night they can grab it and reassert it helps the baby to soothe themselves and fall right back to sleep plus they are absolutely adorable now that my daughter is older she loves to babble at her giraffe they also can chew on different parts of the animalnooniebr br i wash my daughters every other day in the washing machine and leave it to air dry super easy to clean,8/30/2015,0.9997074
